frac, phi, Eg, dge, Ed, s, Ce, ge, Y
0.238112,0.5,119.4796,0.6922824512,10000,1,0.811222,2.83843,1
0.209495,0.45,131.7405,0.6131477004,5000,0.75,0.88836,2.85854,1
0.225578,0.55,92.7321,0.6718223366,7000,0.85,0.855923,2.87464,1
0.236761,0.5,121.0807,0.712804872,7000,1,0.820647,2.81568,1
0.212071,0.45,146.3794,0.6368020267,7000,0.8,0.883702,2.83379,1
0.233798,0.5,115.1262,0.6691176505,10000,0.95,0.820264,2.85926,1
0.224489,0.45,146.8029,0.6379968032,10000,0.9,0.843407,2.8495,1
0.243075,0.55,97.4469,0.7275907822,5000,1,0.813014,2.83437,1
0.192214,0.35,199.6571,0.553604637,5000,0.5,0.949043,2.82052,1
0.226396,0.5,115.2722,0.665389212,10000,0.9,0.842313,2.85535,1
0.239506,0.5,113.2751,0.7064528721,5000,1,0.810511,2.82604,1
0.204681,0.4,182.1953,0.5944339466,10000,0.75,0.892026,2.84432,1
0.213222,0.5,110.5914,0.6738319174,3000,0.75,0.90791,2.82083,1
0.219652,0.5,132.3703,0.6805377929,5000,0.85,0.884461,2.81714,1
0.225764,0.55,101.9037,0.6846655713,5000,0.85,0.871811,2.85126,1
0.22668,0.45,152.0551,0.665974532,7000,0.95,0.835966,2.82455,1
0.229963,0.45,139.0754,0.6803359273,7000,0.95,0.831666,2.81665,1
0.214823,0.45,137.5671,0.6449975408,5000,0.8,0.881247,2.83052,1
0.188203,0.35,199.3992,0.5353112512,7000,0.5,0.945195,2.84583,1
0.245411,0.55,88,0.7187278096,7000,1,0.795203,2.85543,1
0.212953,0.45,146.503,0.6401267189,7000,0.8,0.885178,2.83279,1
0.233329,0.45,145.9458,0.6716108906,10000,1,0.812815,2.8304,1
0.21075,0.45,149.674,0.6212774889,10000,0.75,0.899846,2.8431,1
0.194543,0.35,198.8046,0.5628955581,5000,0.55,0.938121,2.82198,1
0.23756,0.5,126.0576,0.7061724677,7000,1,0.82258,2.81975,1
0.190218,0.35,180.5661,0.552841581,5000,0.5,0.944833,2.82888,1
0.230573,0.45,142.7912,0.666060172,10000,0.95,0.828915,2.82923,1
0.198243,0.4,180.0953,0.5704004072,7000,0.6,0.935866,2.8423,1
0.245904,0.55,92.5888,0.7035346272,10000,1,0.796561,2.86474,1
0.222453,0.5,109.0934,0.6480337068,10000,0.85,0.851759,2.87242,1
0.225877,0.45,134.7551,0.6687097249,5000,0.9,0.84619,2.82056,1
0.214551,0.45,142.1698,0.6149736168,10000,0.8,0.873446,2.86202,1
0.234784,0.45,138.7874,0.6895430711,7000,1,0.813795,2.81552,1
0.238427,0.5,115.0591,0.7020091771,7000,1,0.810065,2.83121,1
0.201487,0.45,152.1703,0.6030322155,7000,0.65,0.933924,2.8417,1
0.232605,0.5,118.994,0.6901707709,10000,0.95,0.831272,2.83538,1
0.21354,0.4,159.3394,0.6461443596,5000,0.8,0.878729,2.8017,1
0.219009,0.45,135.9326,0.6670850384,5000,0.85,0.866743,2.81506,1
0.232675,0.45,147.3548,0.6751679632,10000,1,0.814574,2.82545,1
0.222664,0.5,117.7816,0.6742654458,5000,0.85,0.870058,2.83421,1
0.228656,0.45,149.9076,0.6546592072,10000,0.95,0.829806,2.83716,1
0.227978,0.5,111.8529,0.6568264459,10000,0.9,0.835317,2.86617,1
0.190472,0.4,157.1,0.5482586654,5000,0.5,0.954949,2.85512,1
0.205312,0.4,175.2687,0.5922760529,5000,0.7,0.907968,2.83514,1
0.208434,0.45,148.1322,0.6103546353,7000,0.75,0.896632,2.85354,1
0.235841,0.45,137.4424,0.6651902436,10000,1,0.803346,2.84047,1
0.237611,0.5,118.6786,0.6913466031,10000,1,0.810594,2.84003,1
0.200923,0.4,178.7153,0.6018896325,5000,0.65,0.928544,2.81842,1
0.221504,0.5,111.6093,0.6474084222,10000,0.85,0.853649,2.87197,1
0.226975,0.5,123.2588,0.6911680928,5000,0.9,0.859203,2.82063,1
0.192668,0.4,136.579,0.5761067584,3000,0.5,0.956253,2.83057,1
0.238061,0.5,113.9754,0.6842706527,7000,1,0.803109,2.85093,1
0.220158,0.45,136.1501,0.6423334819,5000,0.85,0.859133,2.8406,1
0.215867,0.5,113.2966,0.6460871288,10000,0.8,0.876902,2.86323,1
0.191293,0.35,196.9265,0.5444156806,7000,0.5,0.945936,2.83392,1
0.193059,0.4,176.1373,0.5586674657,10000,0.6,0.932168,2.86015,1
0.23295,0.45,142.8903,0.6547647222,10000,1,0.804435,2.84861,1
0.225876,0.5,124.5216,0.6719427242,7000,0.9,0.853348,2.8421,1
0.24104,0.5,103.2578,0.7112331585,5000,1,0.800168,2.83087,1
0.241382,0.5,112.0541,0.6930167124,7000,1,0.803784,2.8425,1
0.22683,0.45,139.153,0.6919261337,5000,0.95,0.837071,2.80367,1
0.229275,0.45,134.202,0.6598363661,10000,0.95,0.82002,2.84146,1
0.200946,0.4,176.5927,0.595401762,5000,0.7,0.909319,2.8344,1
0.232945,0.5,113.9646,0.684087164,7000,0.95,0.825255,2.84448,1
0.235892,0.55,98.0157,0.7139794131,7000,0.95,0.831081,2.84227,1
0.238069,0.55,91.5927,0.6920078204,10000,0.95,0.814431,2.87195,1
0.222864,0.45,144.5287,0.6834097937,5000,0.9,0.858334,2.79998,1
0.236017,0.45,128.4663,0.6670274633,10000,1,0.796555,2.84425,1
0.213873,0.45,151.1821,0.6296977122,7000,0.8,0.885174,2.83775,1
0.232883,0.45,144.0679,0.6788309932,7000,1,0.814438,2.8219,1
0.236552,0.5,123.54,0.7214488091,5000,1,0.826308,2.80444,1
0.192706,0.35,171.5648,0.5648766675,3000,0.5,0.94751,2.81476,1
0.216031,0.5,124.343,0.6496122116,7000,0.8,0.888541,2.84929,1
0.228369,0.5,118.1444,0.682427338,5000,0.9,0.850834,2.83276,1
0.206619,0.45,146.3606,0.5935199668,10000,0.75,0.890449,2.87363,1
0.225022,0.45,130.6281,0.6778787448,5000,0.9,0.845993,2.8154,1
0.200718,0.4,166.962,0.6060465104,5000,0.65,0.925112,2.81727,1
0.229322,0.45,131.451,0.6740085976,7000,0.95,0.823294,2.82857,1
0.201999,0.45,139.2556,0.6117187258,5000,0.65,0.930827,2.83844,1
0.211155,0.5,120.8692,0.6202678939,10000,0.75,0.896625,2.87527,1
0.234618,0.45,141.0839,0.6783663281,7000,1,0.811656,2.82501,1
0.226542,0.5,118.1942,0.6665754001,10000,0.9,0.844376,2.85111,1
0.240533,0.5,109.9396,0.6839832483,7000,1,0.798902,2.85431,1
